Id,SalePrice
1461,117643.7555453902
1462,154206.7019615856
1463,183451.0351088929
1464,176987.3094632887
1465,188649.46963490936
1466,185214.49066474743
1467,172020.25145231726
1468,174351.62087862525
1469,196759.6397731289
1470,112806.25153220317
1471,188482.54333411524
1472,93285.25910950615
1473,88249.18620009389
1474,143912.8637217929
1475,127836.90142269274
1476,336696.3717244224
1477,241545.71113428706
1478,264251.8516993891
1479,327704.79266054544
1480,461306.42605491803
1481,305379.72346017254
1482,202400.47904577217
1483,194435.4348550038
1484,163099.02296830848
1485,171335.34183592498
1486,207658.1073424264
1487,279499.7468249167
1488,248413.88187949665
1489,196971.2481373924
1490,237620.80952970934
1491,188864.02999404128
1492,106101.36572512193
1493,178508.58693390156
1494,282404.9068563941
1495,217971.84210781977
1496,219176.74124210665
1497,180025.45481096205
1498,152643.8985253997
1499,153465.82141571993
1500,154570.541543458
1501,174339.6299680967
1502,151281.26967572587
1503,247780.72663937934
1504,226409.91722886433
1505,210309.82987083765
1506,153096.69158860072
1507,278728.92988666345
1508,205913.2904533963
1509,163217.68409267112
1510,147565.76097867437
1511,148632.98271299794
1512,169656.48078979112
1513,151286.6472988822
1514,140728.82303314036
1515,171048.0901413459
1516,129680.45945744401
1517,144460.32407426863
1518,135638.50568081022
1519,210530.6334963399
1520,140423.7150905575
1521,143150.81321710092
1522,156963.49320014694
1523,122408.28747415279
1524,108375.15718797904
1525,108737.65668451236
1526,135211.98908859323
1527,104105.28844776249
1528,116607.67599915343
1529,137046.86329354523
1530,147100.73762126916
1531,126600.84323886047
1532,104181.82463903457
1533,113791.15574154851
1534,121161.97426703971
1535,143706.7226682087
1536,104324.46299560976
1537,101120.4782249289
1538,117068.09609435809
1539,175469.9071422467
1540,167373.16687838538
1541,133544.20986147434
1542,130412.19848653267
1543,178599.76982043203
1544,82766.64448618727
1545,98836.23335031823
1546,120620.57394758853
1547,143256.85935307902
1548,126541.00811108078
1549,90297.12288377185
1550,141731.52695162545
1551,103521.81786904998
1552,138943.59836246888
1553,149606.05039432974
1554,110592.89411023963
1555,175089.99718854204
1556,114598.18984791635
1557,129162.4084405912
1558,82583.53862152639
1559,123827.14343790397
1560,119140.96000988036
1561,155309.7672582968
1562,109503.51541655017
